Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: input_port_f=6G,,,,,,
1,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.18,,,
1,MMPA_V1_v15tb_11,hb_peakPAE_value,24.85,,,
1,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,15.22,> 18,,fail
1,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.981,,,
1,MMPA_V1_v15tb_11,hb_comp_curve,,,,
1,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
1,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
1,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
1,MMPA_V1_v15tb_10,hb_comp_curve,,,,
1,MMPA_V1_v15tb_10,hb_ocp1dbm_value,12.95,,,
1,MMPA_V1_v15tb_10,hb_peakPAE_value,19.98,,,
1,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,12.47,> 18,,fail
1,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,17.13,,,
1,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
1,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
1,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
1,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
1,MMPA_V1_v15tb_10,/vdd!,,,,
1,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
1,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
1,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
1,MMPA_V1_v15tb_01,hb_comp_curve,,,,
1,MMPA_V1_v15tb_01,hb_ocp1dbm_value,7.75,,,
1,MMPA_V1_v15tb_01,hb_peakPAE_value,8.704,,,
1,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,11.95,> 18,,fail
1,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,7.12,,,
1,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
1,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
1,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
1,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
1,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
1,MMPA_V1_v15tb_01,/vdd!,,,,
1,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
1,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.05G,,,,,,
2,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.25,,,
2,MMPA_V1_v15tb_11,hb_peakPAE_value,25,,,
2,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,15.58,> 18,,fail
2,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,10.18,,,
2,MMPA_V1_v15tb_11,hb_comp_curve,,,,
2,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
2,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
2,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
2,MMPA_V1_v15tb_10,hb_comp_curve,,,,
2,MMPA_V1_v15tb_10,hb_ocp1dbm_value,13.01,,,
2,MMPA_V1_v15tb_10,hb_peakPAE_value,20.47,,,
2,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,13.28,> 18,,fail
2,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,17.45,,,
2,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
2,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
2,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
2,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
2,MMPA_V1_v15tb_10,/vdd!,,,,
2,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
2,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
2,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
2,MMPA_V1_v15tb_01,hb_comp_curve,,,,
