Point,"hb_comp_curve","hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
1,wave,10.3682567653998,20.6477237446261,18.0726550272597,-6.67591747467874,10.9362686309272,wave,wave,wave
2,wave,10.4497642803536,20.6256351196361,18.5153259085275,-7.05497882907905,10.9278763525134,wave,wave,wave
3,wave,10.2324202904132,20.7975758257941,18.8627262393719,-7.58957065221873,8.70116664698952,wave,wave,wave
4,wave,10.1922394832727,20.8390507744802,19.0241227722175,-7.79370267707948,8.72348254705118,wave,wave,wave
5,wave,10.347053991019,20.7571714630518,18.1956082305273,-6.82133776755517,10.6084069701588,wave,wave,wave
6,wave,10.5394549322274,20.9984147630014,18.8449956488055,-7.28540586212915,10.4577995932459,wave,wave,wave
7,wave,10.3506883710364,21.3802481988997,19.0684959001577,-7.68345720781761,9.62314038661453,wave,wave,wave
8,wave,10.5279583673432,21.5686453283995,18.8185433186467,-7.25227328854695,9.76265058202508,wave,wave,wave
9,wave,10.3424182542079,20.8661144278126,18.4748687705909,-7.10573772034277,10.6016319316727,wave,wave,wave
10,wave,10.328540646143,21.2221667035931,18.8042620218718,-7.43798098709248,9.5537070959239,wave,wave,wave
11,wave,10.3770943994738,20.8065944154663,18.7363786662653,-7.33529019108292,9.94269331191395,wave,wave,wave
12,wave,10.2725689163644,21.3708104098287,19.1454191493608,-7.84095098431451,9.03210787332701,wave,wave,wave
13,wave,10.5707071964398,21.5273649082905,19.332286772979,-7.73203971634681,10.0381368621482,wave,wave,wave
14,wave,10.4293176456161,21.0022156592246,18.5584106609334,-7.12101809270607,11.2462844040135,wave,wave,wave
15,wave,10.2541002992234,20.2557893953677,18.6437660695263,-7.36002730353478,9.15641865417857,wave,wave,wave
16,wave,10.1896583953939,20.6565277071457,19.2430925115159,-8.01913093530116,8.52717283832703,wave,wave,wave
17,wave,10.411515322929,21.1841836758151,18.6836348875436,-7.24734620764528,10.8692419368357,wave,wave,wave
18,wave,10.3739984308239,21.0255720865478,18.6873010433367,-7.27895890476783,10.0545963154109,wave,wave,wave
19,wave,10.3351124806411,20.9059640087577,18.2679581306532,-6.89845473012186,9.58968727303204,wave,wave,wave
20,wave,10.5540383748467,20.4991758913917,19.3801420459947,-7.80003505632211,8.92040255394465,wave,wave,wave
21,wave,10.3608116839996,20.8024235407814,18.3214881562482,-6.93337322985584,10.823107900404,wave,wave,wave
22,wave,10.2761041756316,20.8782493668048,18.7034805174244,-7.40348858775041,10.0477170443594,wave,wave,wave
