Point,"hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_comp_curve","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
1,12.02108273477,24.8714905992525,17.8330261702538,-4.81443231415012,10.9898188336148,wave,wave,wave,wave
2,11.4566567244893,23.9667124295808,17.7811133875961,-5.34190826606667,9.46520972914897,wave,wave,wave,wave
3,11.7305753512546,23.3067370874232,18.7342735965492,-6.00243022620978,8.38789463055505,wave,wave,wave,wave
4,11.6854322230871,23.3573097381124,18.8260651841731,-6.14176816274157,8.39529814594424,wave,wave,wave,wave
5,12.0470538493549,25.0854531766214,18.0912621093139,-5.04556150666112,10.7767833328111,wave,wave,wave,wave
6,11.7579872780933,24.2082133462416,18.3449224534494,-5.59850055789318,9.49335341292225,wave,wave,wave,wave
7,11.9039501687132,24.6777312784548,18.7146232941034,-5.8137354975428,9.41507738930735,wave,wave,wave,wave
8,12.2516334080772,25.3430852018944,19.1307386263404,-5.87162160401405,9.92270435597066,wave,wave,wave,wave
9,11.8225566112532,24.7374101520661,18.0914649612042,-5.2750171573539,10.2429597792355,wave,wave,wave,wave
10,11.9547886993237,24.6548692895376,18.8277069770146,-5.86985760002251,9.50352107053619,wave,wave,wave,wave
11,11.5839623355343,23.7237066222105,17.9262942186844,-5.35284290393396,8.99679662687149,wave,wave,wave,wave
12,11.8627999683573,24.664293384002,19.2308661171039,-6.36947891415114,8.91859132092095,wave,wave,wave,wave
13,11.9188023544713,24.4777450416065,18.6085518394626,-5.69873445278892,9.3701004960556,wave,wave,wave,wave
14,11.8587413492048,25.2874294097481,18.0791602108632,-5.23576248130723,10.7583250888713,wave,wave,wave,wave
15,11.4432134928498,22.4348134348104,18.0382643160837,-5.60263843730813,8.2320121394563,wave,wave,wave,wave
16,11.5641876137135,22.5767775438132,18.7247680453772,-6.16743375009118,7.95597354510554,wave,wave,wave,wave
17,11.9322022994669,25.2239718674678,18.0187557491399,-5.09517230499401,10.604333046989,wave,wave,wave,wave
18,11.8955672534132,24.501269717327,18.5353530666103,-5.64033149207817,9.78626737040616,wave,wave,wave,wave
19,11.9948816043987,24.6556450690228,18.5907509815702,-5.59015399479556,9.61614330929889,wave,wave,wave,wave
