Mode,Process,Voltage,Temperature,Metric,Value
11,Nominal,2.25,27,hb_ocp1dbm_value,12.19
11,FF,2.25,-40,hb_ocp1dbm_value,12.18
11,FF,2.25,27,hb_ocp1dbm_value,10.77
11,FF,2.25,125,hb_ocp1dbm_value,9.267
11,FS,2.25,-40,hb_ocp1dbm_value,14.14
11,FS,2.25,27,hb_ocp1dbm_value,12.56
11,FS,2.25,125,hb_ocp1dbm_value,10.11
11,SF,2.25,-40,hb_ocp1dbm_value,9.569
11,SF,2.25,27,hb_ocp1dbm_value,10.34
11,SF,2.25,125,hb_ocp1dbm_value,8.793
11,SS,2.25,-40,hb_ocp1dbm_value,9.728
11,SS,2.25,27,hb_ocp1dbm_value,7.379
11,SS,2.25,125,hb_ocp1dbm_value,5.826
11,Nominal,2.25,27,hb_peakPAE_value,25.0
11,FF,2.25,-40,hb_peakPAE_value,25.76
11,FF,2.25,27,hb_peakPAE_value,20.05
11,FF,2.25,125,hb_peakPAE_value,12.94
11,FS,2.25,-40,hb_peakPAE_value,30.96
11,FS,2.25,27,hb_peakPAE_value,24.76
11,FS,2.25,125,hb_peakPAE_value,16.26
11,SF,2.25,-40,hb_peakPAE_value,30.97
11,SF,2.25,27,hb_peakPAE_value,25.06
11,SF,2.25,125,hb_peakPAE_value,16.62
11,SS,2.25,-40,hb_peakPAE_value,30.92
11,SS,2.25,27,hb_peakPAE_value,25.12
11,SS,2.25,125,hb_peakPAE_value,16.97
11,Nominal,2.25,27,hb_gainAt-20dbm_value,19.84
11,FF,2.25,-40,hb_gainAt-20dbm_value,19.33
11,FF,2.25,27,hb_gainAt-20dbm_value,17.07
11,FF,2.25,125,hb_gainAt-20dbm_value,13.79
11,FS,2.25,-40,hb_gainAt-20dbm_value,22.02
11,FS,2.25,27,hb_gainAt-20dbm_value,19.21
11,FS,2.25,125,hb_gainAt-20dbm_value,15.55
11,SF,2.25,-40,hb_gainAt-20dbm_value,25.23
11,SF,2.25,27,hb_gainAt-20dbm_value,21.03
11,SF,2.25,125,hb_gainAt-20dbm_value,16.17
